wb_name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mozambique,0.324,0.368,0.431,0.433,0.523,0.524,0.49700000000000005,0.54,0.617,0.618,0.6900000000000001,0.746,0.879,0.851,1.0959999999999999,1.106006093171103,1.1402247733740771
Myanmar,2.4459999999999997,2.7510000000000003,2.379,2.511,2.685,3.391,3.1630000000000003,3.5039999999999996,3.511,2.673,2.79,3.4130000000000003,3.8989999999999996,3.5269999999999997,3.4370000000000003,3.7246957214742697,3.86272502563141
Namibia,0.45399999999999996,0.44799999999999995,0.55,0.48,0.511,0.535,0.63,0.635,0.644,0.9079999999999999,0.8370000000000001,0.845,0.77,0.92,0.804,0.8098062827157667,0.8237027641550964
Nepal,0.878,0.8370000000000001,0.8909999999999999,0.716,0.775,0.728,0.841,0.6990000000000001,0.713,0.9329999999999999,1.182,1.379,1.509,1.594,1.773,1.8643041351719205,1.8846739093886544
Netherlands,46.732562650776394,46.95955573978749,48.31806812117862,48.16113553153469,49.090581050067776,49.548650933777196,48.45536932309726,47.154173793423425,47.26485272813364,48.08253775945465,46.614671555688325,49.817081588300255,46.3406486193785,45.214253213633484,45.16263220348256,43.06484217237584,44.31033419547326
New Zealand,8.60348965384427,8.83077429675656,9.438243112623766,9.489158892720084,9.9610182877921,9.842702873682027,10.274408924410752,10.239930329468123,10.003103571455206,10.282219369387755,9.499563888689652,9.557107356512262,9.379525841818172,9.721895747639671,9.578135027205704,9.720792932598636,9.708202277045425
Nicaragua,0.9890000000000001,1.026,1.081,1.101,1.203,1.207,1.178,1.218,1.256,1.206,1.226,1.237,1.331,1.275,1.246,1.2740063568621844,1.300502190978696
Niger,0.26,0.19,0.179,0.191,0.207,0.222,0.195,0.18899999999999997,0.19699999999999998,0.221,0.264,0.32,0.36200000000000004,0.509,0.535,0.5652660808481241,0.5701115630241202
Nigeria,12.21,21.59,22.726999999999997,26.756,25.397,26.463,28.549,26.968000000000004,25.921999999999997,26.22,20.926,25.093000000000004,26.205,27.171,26.084,27.002547000173077,28.476010722590605
Norway,11.651405594016293,11.515724046669025,11.880279064433267,11.641612597199778,11.982997648458051,12.095796564715338,11.885159393062851,11.98491772673496,12.51140918660041,12.251934474805651,11.793145796228194,12.508702455426748,12.266611103118178,12.159377562312965,12.092611051450927,11.972555900931521,12.001085551073848
